iter	RMSE
0	9.053901099
1	6.919575158
2	5.946385443
3	5.552404279
4	5.399502948
5	5.330956627
6	5.313511225
7	5.30686652
8	5.304606911
9	5.303793217
10	5.303500256
11	5.303394786
12	5.303356817
13	5.303347239
14	5.303336351
15	5.30333096
16	5.303325924
17	5.303321653
18	5.303319444
19	5.303315586
20	5.303313491
21	5.303311353
22	5.303309629
23	5.303308319
24	5.303307848
25	5.303307678
26	5.303307617
27	4.296017398
28	3.757054136
29	3.631635197
30	3.563635526
31	2.626733369
32	2.624716567
33	2.62381605
34	2.623573119
35	2.623478183
36	2.623439801
37	2.623423618
38	2.623416462
39	2.124140801
40	2.113112555
41	2.107309653
42	2.104145104
43	1.575957567
44	1.570549948
45	1.5687865
46	1.568051539
47	1.567725413
48	1.567540112
49	1.567446111
50	1.567396919
51	1.567370576
52	1.175527932
53	1.175517176
54	0.9537745231
55	0.943776263
56	0.938281257
57	0.9352396326
58	0.9341399977
59	0.9328926167
60	0.9322209965
61	0.9320248649
62	0.7661326649
63	0.7557768953
64	0.7501360207
65	0.7470336208
66	0.7460020126
67	0.6253171894
68	0.5603185407
69	0.5349876133
70	0.5214060701
71	0.5140497528
72	0.5119423439
73	0.5087395658
74	0.5080740971
75	0.5066305139
76	0.3799728854
77	0.3798098527
78	0.3793079234
79	0.3790524129
80	0.3789183779
81	0.3788464785
82	0.3788312544
83	0.3788250928
84	0.3047644459
85	0.3021080297
86	0.2296831535
87	0.1916267595
88	0.1899986526
89	0.187395819
90	0.1400032874
91	0.1106977027
92	0.110097391
93	0.1094039465
94	0.1092964337
95	0.1092680387
96	0.1089200173
97	0.1087455622
98	0.08642224542
99	0.08582500609
100	0.08549031054
101	0.08530258029
102	0.07099685564
103	0.06318224833
104	0.06056109528
105	0.05914091126
106	0.05836526659
107	0.05810587755
108	0.05778344033
109	0.05761148219
110	0.04822785746
111	0.04782217477
112	0.04710483184
113	0.04090015723
114	0.03752045222
115	0.03529308687
116	0.03249929419
117	0.03048973595
118	0.03009249566
119	0.02759276047
120	0.02592995034
121	0.02505773354
122	0.01822038441
123	0.01590908658
124	0.0153336839
125	0.01375597113
126	0.01289180723
127	0.0124468284
128	0.01166218543
129	0.01151368218
130	0.01142941564
131	0.01111711131
132	0.01108730251
133	0.01094092797
134	0.01086756917
135	0.01082964163
136	0.01082427565
137	0.01080581787
138	0.01080415068
139	0.0108034539
140	0.01080312223
141	0.008924216103
142	0.006475627858
143	0.006452996254
144	0.006444115532
145	0.006440513677
146	0.00524916391
147	0.005225316317
148	0.005171162301
149	0.005163170261
150	0.004412043632
151	0.004297252211
152	0.004236466933
153	0.003672439729
154	0.00356193178
155	0.003536971382
156	0.003486578839
157	0.003460238116
158	0.003446174206
159	0.003438541473
160	0.003434349995
161	0.003432029445
162	0.003430737637
163	0.003430015892
164	0.003429611683
165	0.002759753337
166	0.002746487515
167	0.002727219001
168	0.002717039749
169	0.002711556594
170	0.00270856095
171	0.002706908128
172	0.002705990101
173	0.002705477942
174	0.002705191383
175	0.002705083411
176	0.002704966652
177	0.002704903325
178	0.002704885567
179	0.002704857597
180	0.002704842785
181	0.002704834785
182	0.002704830405
183	0.002704829194
184	0.00270482723
185	0.002704826895
186	0.002704825966
187	0.002704825487
188	0.002704825233
189	0.002704825096
190	0.00270482502
191	0.002704824979
192	0.002704824956
193	0.002704824943
194	0.002704824936
195	0.002191092652
196	0.001617561223
197	0.001616100955
198	0.001615665152
199	0.001615507735
200	0.001615433947
201	0.001615413853
202	0.001615395304
203	0.001211546478
204	0.001211540243
205	0.001211538882
206	0.001211536609
207	0.001211535495
208	0.001211535261
209	0.001211534789
210	0.001211534549
211	0.001211534423
212	0.0009814141412
213	0.00097618952
214	0.0008481739465
215	0.0008214733141
216	0.0005906863339
217	0.0005884969347
218	0.0005876589544
219	0.0005873300858
220	0.0005871965114
221	0.000478746996
222	0.0004211373328
223	0.0003892189612
224	0.0003807627647
225	0.0002588505852
226	0.0002460805685
227	0.000240479789
228	0.0001803598417
229	0.0001784658434
230	0.0001775768005
231	0.0001775216137
232	0.0001774929638
233	0.0001770826977
234	0.0001768830295
235	0.0001767819717
236	0.000176772711
237	0.000176769556
