iter	Passed	Remaining
518	3131	2902
519	3137	2896
520	3144	2890
521	3150	2884
522	3156	2878
523	3161	2871
524	3165	2864
525	3172	2858
526	3178	2852
527	3184	2846
528	3190	2841
529	3197	2835
530	3201	2827
531	3207	2821
532	3214	2816
533	3220	2810
534	3224	2802
535	3229	2795
536	3235	2789
537	3240	2782
538	3248	2778
539	3252	2771
540	3257	2763
541	3262	2756
542	3270	2752
543	3277	2747
544	3284	2742
545	3291	2736
546	3295	2729
547	3302	2723
548	3308	2717
549	3315	2712
550	3321	2706
551	3325	2699
552	3330	2692
553	3336	2686
554	3342	2680
555	3347	2673
556	3353	2666
557	3357	2659
558	3363	2653
559	3368	2646
560	3378	2643
561	3384	2637
562	3388	2630
563	3393	2623
564	3400	2617
565	3404	2610
566	3409	2603
567	3415	2597
568	3421	2591
569	3427	2585
570	3433	2579
571	3438	2572
572	3443	2565
573	3449	2560
574	3457	2555
575	3463	2549
576	3467	2542
577	3472	2535
578	3479	2529
579	3485	2524
580	3490	2517
581	3496	2511
582	3502	2505
583	3508	2499
584	3513	2492
585	3519	2486
586	3525	2480
587	3532	2474
588	3536	2467
589	3542	2462
590	3549	2456
591	3553	2449
592	3560	2443
593	3566	2437
594	3572	2431
595	3577	2424
596	3583	2418
597	3589	2413
598	3594	2406
599	3600	2400
600	3604	2393
601	3610	2387
602	3615	2380
603	3621	2374
604	3626	2367
605	3631	2361
606	3638	2355
607	3643	2348
608	3648	2342
609	3654	2336
610	3661	2331
611	3668	2325
612	3672	2318
613	3678	2312
614	3683	2305
615	3689	2300
616	3695	2294
617	3702	2288
618	3708	2282
619	3712	2275
620	3719	2269
621	3723	2262
622	3729	2256
623	3738	2252
624	3743	2246
625	3749	2240
626	3755	2234
627	3761	2228
628	3767	2222
629	3774	2216
630	3780	2210
631	3787	2205
632	3793	2199
633	3799	2193
634	3803	2186
635	3809	2180
636	3815	2174
637	3823	2169
638	3827	2162
639	3839	2159
640	3845	2153
641	3850	2147
642	3856	2141
643	3861	2134
644	3865	2127
645	3872	2121
646	3878	2115
647	3884	2110
648	3889	2103
649	3895	2097
650	3901	2091
651	3907	2085
652	3913	2079
653	3923	2075
654	3929	2069
655	3934	2063
656	3939	2056
657	3943	2049
658	3949	2043
659	3956	2038
660	3961	2031
661	3965	2024
662	3972	2019
663	3978	2013
664	3983	2006
665	3990	2001
666	3995	1994
667	4002	1989
668	4007	1982
669	4013	1976
670	4018	1970
671	4026	1965
672	4035	1960
673	4041	1954
674	4046	1948
675	4052	1942
676	4058	1936
677	4063	1929
678	4069	1923
679	4075	1918
680	4082	1912
681	4088	1906
682	4103	1904
683	4111	1899
684	4117	1893
685	4122	1887
686	4127	1880
687	4132	1874
688	4139	1868
689	4144	1861
690	4151	1856
691	4157	1850
692	4164	1844
693	4169	1838
694	4174	1832
695	4180	1825
696	4187	1820
697	4194	1814
698	4199	1808
699	4206	1802
700	4213	1797
701	4219	1791
702	4227	1785
703	4232	1779
704	4236	1772
705	4247	1768
706	4254	1763
707	4261	1757
708	4267	1751
709	4272	1745
710	4277	1738
711	4282	1732
712	4288	1726
713	4293	1719
714	4297	1713
715	4304	1707
716	4310	1701
717	4314	1694
718	4319	1688
719	4324	1681
720	4331	1676
721	4336	1669
722	4343	1663
723	4348	1657
724	4355	1652
725	4363	1646
726	4372	1641
727	4379	1636
728	4386	1630
729	4393	1624
730	4399	1619
731	4404	1612
732	4409	1606
733	4415	1600
734	4420	1593
735	4426	1587
736	4431	1581
737	4436	1575
738	4443	1569
739	4447	1562
740	4457	1557
741	4461	1551
742	4468	1545
743	4473	1539
744	4479	1533
745	4484	1526
746	4490	1520
747	4497	1515
748	4501	1508
749	4508	1502
750	4514	1496
751	4520	1490
752	4527	1484
753	4532	1478
754	4539	1473
755	4546	1467
756	4554	1461
757	4560	1456
758	4567	1450
759	4573	1444
760	4580	1438
761	4586	1432
762	4591	1426
763	4595	1419
764	4600	1413
765	4606	1407
766	4612	1401
767	4617	1394
768	4623	1388
769	4631	1383
770	4637	1377
771	4643	1371
772	4648	1365
773	4652	1358
774	4659	1352
775	4665	1346
776	4671	1340
777	4675	1334
778	4682	1328
779	4686	1321
780	4693	1315
781	4699	1310
782	4703	1303
783	4709	1297
784	4716	1291
785	4723	1286
786	4729	1280
787	4736	1274
788	4743	1268
789	4749	1262
790	4755	1256
791	4760	1250
792	4766	1244
793	4771	1237
794	4775	1231
795	4781	1225
796	4788	1219
797	4794	1213
798	4800	1207
799	4806	1201
800	4811	1195
801	4818	1189
802	4822	1183
803	4829	1177
804	4834	1171
805	4838	1164
806	4845	1158
807	4851	1152
808	4857	1146
809	4862	1140
810	4868	1134
811	4872	1128
812	4877	1121
813	4883	1115
814	4891	1110
815	4899	1104
816	4903	1098
817	4909	1092
818	4914	1086
819	4919	1079
820	4923	1073
821	4930	1067
822	4935	1061
823	4941	1055
824	4945	1049
825	4950	1042
826	4956	1036
827	4962	1030
828	4968	1024
829	4973	1018
830	4977	1012
831	4982	1006
832	4988	1000
833	4994	994
834	4999	987
835	5005	982
836	5012	976
837	5016	969
838	5023	963
839	5029	958
840	5034	951
841	5039	945
842	5046	939
843	5052	933
844	5059	928
845	5065	922
846	5075	916
847	5080	910
848	5087	904
849	5093	898
850	5100	892
851	5106	887
852	5112	881
853	5117	874
854	5121	868
855	5127	862
856	5134	856
857	5140	850
858	5146	844
859	5152	838
860	5157	832
861	5163	826
862	5169	820
863	5177	814
864	5184	809
865	5191	803
866	5196	797
867	5201	791
868	5208	785
869	5213	778
870	5219	773
871	5227	767
872	5234	761
873	5238	755
874	5245	749
875	5252	743
876	5257	737
877	5264	731
878	5269	725
879	5276	719
880	5283	713
881	5289	707
882	5296	701
883	5302	695
884	5308	689
885	5315	683
886	5321	677
887	5328	672
888	5334	666
889	5338	659
890	5345	653
891	5349	647
892	5356	641
893	5360	635
894	5367	629
895	5374	623
896	5380	617
897	5385	611
898	5391	605
899	5398	599
900	5405	593
901	5410	587
902	5415	581
903	5421	575
904	5428	569
905	5435	563
906	5440	557
907	5447	551
908	5454	546
909	5461	540
910	5467	534
911	5472	528
912	5477	521
913	5483	515
914	5488	509
915	5494	503
916	5499	497
917	5503	491
918	5510	485
919	5519	479
920	5523	473
921	5530	467
922	5535	461
923	5541	455
924	5548	449
925	5554	443
926	5559	437
927	5566	431
928	5570	425
929	5575	419
930	5581	413
931	5588	407
932	5593	401
933	5599	395
934	5605	389
935	5613	383
936	5627	378
937	5633	372
938	5638	366
939	5643	360
940	5650	354
941	5656	348
942	5661	342
943	5666	336
944	5672	330
945	5678	324
946	5683	318
947	5689	312
948	5695	306
949	5701	300
950	5708	294
951	5714	288
952	5720	282
953	5726	276
954	5731	270
955	5738	264
956	5743	258
957	5749	252
958	5754	246
959	5758	239
960	5764	233
961	5771	227
962	5777	221
963	5783	215
964	5789	209
965	5796	204
966	5805	198
967	5809	192
968	5814	186
969	5821	180
970	5827	174
971	5833	168
972	5838	162
973	5844	156
974	5850	150
975	5854	143
976	5861	137
977	5867	131
978	5871	125
979	5878	119
980	5884	113
981	5892	108
982	5899	102
983	5903	95
984	5909	89
985	5915	83
986	5920	77
987	5926	71
988	5931	65
989	5937	59
990	5944	53
991	5948	47
992	5954	41
993	5959	35
994	5965	29
995	5971	23
996	5975	17
997	5982	11
998	5989	5
999	5995	0
